GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1000;Utvikling;Development
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1020;Varige konsesjoner, patenter, lisenser, rettigheter med mer;Long-term concessions, patents, licenses, rights, etc.
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1070;Utsatt skattefordel;Deferred tax asset
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1080;Goodwill;Goodwill
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1101;Aktiverte letekostnader;Captalized exploration costs
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1102;Felt under utbygging;Fields under development
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1103;Produksjonsinnretning og rørledning;Production facility and pipeline
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1104;Fjernings- og nedstengningseiendeler;Removal and shutdown assets
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1105;Forretningsbygg;Commercial estates
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1115;Bygg, anlegg, hotell o.l.;Buildings, installations, hotels, etc.
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1117;Elektroteknisk utrustning i kraftforetak mv.;Electrotechnical equipment in power enterprises, etc.
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1120;Fast teknisk installasjon i byggninger;Fixed technical installations in buildings
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1130;Anlegg og maskiner under bygging;Installations and machines under construction
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1140;Jord- og skogbrukseiendommer;Agricultural and forestry properties
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1150;Tomter og andre grunnarealer;Plots and other land areas
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1160;Bolig inkl. boligtomter, hytter mv.;Housing incl. housing plots, cabins, etc.
balanseverdiForAnleggsmiddel;Næringsspesifikasjon;Income Statement;1180;Investeringseiendommer;Investment properties
